"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-07-19 01:03:20.233Z",  14195044, 867700000,0, 6,"CRC_BAD", 94,"LORA",125000,"SF7"   ,"1/2",-127,-11.2,"121D002B-FA18B14F-9A8AA3EB-66CFB24C-2F40A7EC-4B2F781D-AC566E1C-14EF0F24-887F3AA2-854EF798-13634816-11821547-381F0284-0428BF21-C580AB7E-0BF5AA27-A4A9B85E-739A7DFE-54F704A1-49CB3565-7A992FF8-B0556E84-3DFBFAD6-C36D"
"AA555A0000000101","","2016-07-19 01:04:11.484Z",  65418652, 867100000,0, 3,"CRC_BAD", 29,"LORA",125000,"SF12"  ,"4/5",-131,-22.8,"40DE64CE-A0298009-40467F7D-390D8CCE-D9051950-3BDB3F29-16A75102-1E"
"AA555A0000000101","","2016-07-19 01:04:18.399Z",  72359988, 867500000,0, 5,"CRC_BAD", 98,"LORA",125000,"SF7"   ,""   ,-126,-11.8,"B1B76060-C86F77A6-08589B5D-36A348DA-A49CC07B-479A26A3-ACE8E40A-11FC8BC0-C61ADC3C-7BFD3075-F7CE9648-AA083934-55992F09-C9085212-A8A26051-E21005E5-843B5DCC-6DF4C89C-2A7F4AEF-2955F816-883F38FE-97C8A645-F34FE3AF-8FB6C843-D35B"
