"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-07-19 01:41:10.496Z",  44400380, 867900000,0, 7,"CRC_BAD",215,"LORA",125000,"SF7"   ,"4/5",-129,-11.2,"6ABE6BFD-DACA4586-F8458582-60FDE1BC-FACFB235-AC80D244-8C4B5B4C-B67A79A6-CC46CC79-F78D29D3-39DE0C4D-B5799D8B-AF6EA682-942FD376-A921AC83-199B7F8C-4E43AD60-836E75F7-BFA62601-05CB15D2-4E08EF68-E0363B99-9C1BD40C-8632C664-40C3E668-07FA127E-52F0E356-F82FD5CD-56F1D210-F091F579-A8519676-AACAB857-F26E84B0-0EC9C22A-AF366740-152FF2E8-109DB94A-CA3C3359-697213FE-12A51CD4-865AADCA-B58A30EB-FFB4B835-732EA596-ADC69609-E4E5A7F7-09FC881E-FDF6343C-F59D881B-882BBB90-7C5DD5EC-D8D638E0-F4D46595-509685"
"AA555A0000000101","","2016-07-19 01:43:20.299Z", 174202723, 868300000,1, 1,"CRC_BAD", 52,"LORA",125000,"SF7"   ,""   ,-126,-11.2,"FBBEBCDC-DFCBE8A3-2F8EA5CC-95C02857-346B33C3-B3459640-8E515ED6-BD4F43D8-2F251D17-2A0AD92C-73155FFC-DB00266A-46D304F6"
