"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-10-27 05:23:37.117Z", 102467827, 867100000,0, 3,"CRC_BAD",133,"LORA",125000,"SF7"   ,"2/3",-129,-12.0,"2575E4C9-5000AE8A-4B0B5B6D-E5B555D8-B2E1D7B1-6760F411-626CCA6D-70894EDF-3D9ADD72-FACDE1FC-7E0E3CD5-BBEC85D5-3EDAEC0D-E8EA32E3-55E21CBA-3548F4E6-A4F8D2CD-50F3F8B1-4265FC42-EA4A7080-024BE30D-A1841705-7B49B1E8-8CF0E341-784F1440-8E69DFB4-574670F5-D6565EAC-3CE5A58A-C7389AEF-A271796C-C1E292C3-C369AC95-60"
"AA555A0000000101","","2016-10-27 05:25:20.302Z", 205653676, 867900000,0, 7,"CRC_BAD", 86,"LORA",125000,"SF7"   ,"2/3",-129,-11.2,"A9FCFA68-02170D77-4CBD9B35-5C7B7823-F43933A7-1EA3CD43-BA88B397-331525A8-A7DC4457-738590D5-B7A89028-D2E0C921-84F0B623-8ED91FE4-47C50740-6B1A103B-B2D3D5E1-EBE37C39-E1BF1304-DA7EB357-356F6757-07DE"
"AA555A0000000101","","2016-10-27 05:26:28.122Z", 273472156, 867500000,0, 5,"CRC_BAD", 71,"LORA",125000,"SF7"   ,"4/7",-127,-11.5,"AE07985B-260165D4-48193B43-F8F8E8E3-9AB4FDD1-908C5C4C-A960C105-6B3F64C2-FE0BA69A-4227A7BD-B103D75C-BB520AAF-135F30EF-D23F2175-2AAFACD8-B8E18AA3-22E32BBB-C5D44D"
"AA555A0000000101","","2016-10-27 05:27:07.103Z", 312453068, 867500000,0, 5,"CRC_BAD",  6,"LORA",125000,"SF7"   ,"4/7",-127,-11.2,"C5FA266C-18C5"
"AA555A0000000101","","2016-10-27 05:31:13.919Z", 559269436, 867500000,0, 5,"CRC_BAD", 32,"LORA",125000,"SF8"   ,"2/3",-127,-14.2,"9E616CB4-04A25DD3-2FFD6A72-B956DE5E-0A5D18AA-E82CC0C1-37B38396-743E9ECD"
"AA555A0000000101","","2016-10-27 05:31:36.265Z", 581614260, 867900000,0, 7,"CRC_BAD", 10,"LORA",125000,"SF7"   ,"4/5",-127,-10.0,"85D3D0D6-6376431A-C0C1"
"AA555A0000000101","","2016-10-27 05:33:35.082Z", 700433035, 868500000,1, 2,"CRC_BAD", 59,"LORA",125000,"SF7"   ,"4/5",-126,-11.0,"F1A6E560-935E3896-886697FF-305FEF55-2579949D-2ED13BCF-264B78DD-583D7A24-66760CD7-67D7D34E-1183AD03-49B82026-90445BF1-389E13A4-8DAE91"
"AA555A0000000101","","2016-10-27 05:33:48.847Z", 714198419, 868300000,1, 1,"CRC_BAD",108,"LORA",125000,"SF7"   ,"4/7",-126,-11.8,"E46CAE20-024C4A2C-DE74AE2B-3291AEF8-D73A431B-94E3B781-BF6B1980-38FC089E-CC5BC748-7CD8F265-4311D64E-00D4C682-B7ABB9EC-2C32546E-AEF11D64-746DDDD0-9B339D04-00D48656-A5CD80DE-BFBD2822-B5B29752-46B64CB7-A5395C41-5A22AF60-F7FAA21A-07370FBA-F4862D49"
