"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-10-27 05:37:07.975Z", 195771587, 868300000,1, 1,"CRC_BAD",188,"LORA",125000,"SF7"   ,"4/5",-126,-12.0,"065E0A00-149D14D4-A2CE29B6-BD0FE6A9-A30C7A97-7F834F14-AC3F230C-796B4107-7C3B2FBA-269E61D1-77F622A5-439508A1-2AAD22AF-6A7D9011-9852468B-A8FBCFBB-D66CD905-DD5289D1-0B610D84-64EC2E5B-281BA5ED-C8CA32F9-3EF84AAB-21B6FFBC-33D0D799-86338D59-67263812-67A7D841-F05BC2C7-95F351EF-C089A081-39434A8B-2ABA835E-B8E0B8B4-961F54BF-103D9A92-281E7601-92F58605-B02D3607-3F74558B-B9A2BB47-BED8267C-1CB8A492-FF07BDB1-796AF734-C33BD716-454918A3"
"AA555A0000000101","","2016-10-27 05:37:24.125Z", 211922419, 868500000,1, 2,"CRC_BAD", 64,"LORA",125000,"SF7"   ,"4/7",-126,-11.5,"872A2EF3-ADBD20A4-B34BC4B3-AC6E8EB5-1EFD29E3-7489488B-93D5553B-095869BC-1D03E366-114AF1C7-7F892469-4E53B570-8DAEDAF2-E7F7847A-7607ACB9-23142A4F"
"AA555A0000000101","","2016-10-27 05:38:13.613Z", 261411955, 868100000,1, 0,"CRC_BAD",166,"LORA",125000,"SF7"   ,"2/3",-127,-11.5,"2A795AA7-62A6A907-D67B1D3F-3D54DADA-82335B97-15C943D5-2711CF70-0769CAC3-DCE25569-4DA147FA-46ECE107-51F44E48-D7B00007-8C30AD87-08BA9E63-DFF06A91-3504526A-1E6606E2-A7908DDE-4C4DB24B-D13D0975-0695E7A6-E99C4C3B-4BA3AA81-2168AE97-60526A1E-878E9AA5-404B6EE8-8CEF8EDA-E17D28F3-875070B6-4D2E837A-B680E6AA-52BA12EA-BFD68E6C-8FF7A0E6-F9B63F1A-D1C5FEE7-60B9346C-5FF40C59-C1148BEB-1004"
"AA555A0000000101","","2016-10-27 05:38:37.997Z", 285796082, 868300000,1, 8,"CRC_BAD", 32,"LORA",250000,"SF7"   ,"2/3",-123,-11.8,"4C8CF56D-57E0BCFA-F97AE728-309A6858-587DF19D-9CC82FA9-8E997ABC-0CBBA430"
"AA555A0000000101","","2016-10-27 05:38:38.390Z", 286187963, 868500000,1, 2,"CRC_BAD",  2,"LORA",125000,"SF7"   ,""   ,-126, -6.8,"BE3D"
